ID,Time,
1TOT29DX1FJU483AFP,10:39:00,0:03:07
1TOT29DX1FJU483AFP,10:42:07,FALSE
1TOT3VGX155HD5OAFQ,12:05:00,FALSE
1TOT4ATX1G5LVMCAF9,11:18:00,0:22:00
1TOT4ATX1G5LVMCAF9,11:40:00,FALSE
1TOT4E8X162OGJTAA1,12:42:05,23:31:49
1TOT4E8X162OGJTAA1,12:13:54,FALSE
1TOT5EVX15PHVFQAMZ,11:55:00,0:26:00
1TOT5EVX15PHVFQAMZ,12:21:00,FALSE
1TOT8DGX1FSKCU7AN2,12:12:08,23:24:52
1TOT8DGX1FSKCU7AN2,11:37:00,FALSE
1TOT96LX15RSHGGAF5,10:41:00,0:49:00
1TOT96LX15RSHGGAF5,11:30:00,FALSE
1TOTB4PX166FG04AF1,10:40:42,0:49:18
1TOTB4PX166FG04AF1,11:30:00,FALSE
1TOTBEPX1G9N6SDAFC,11:04:48,0:06:35
1TOTBEPX1G9N6SDAFC,11:11:23,FALSE
1TOTBRGX0U2BJEKAFT,10:52:00,0:40:00
1TOTBRGX0U2BJEKAFT,11:32:00,FALSE
1TOTF8NX10OG0A8AA1,12:35:48,0:02:12
1TOTF8NX10OG0A8AA1,12:38:00,FALSE
1TOTFORX1FIALSKNF3,10:50:38,0:05:22
1TOTFORX1FIALSKNF3,10:56:00,FALSE
1TOTGOGX1G5OC1KAF4,12:19:00,0:12:00
1TOTGOGX1G5OC1KAF4,12:31:00,FALSE
1TOTGVGX18MPBQQAFY,11:10:00,0:41:00
1TOTGVGX18MPBQQAFY,11:51:00,FALSE
1TOTH98X1663M3JAFN,10:41:53,1:03:07
1TOTH98X1663M3JAFN,11:45:00,FALSE
1TOTHI6X15V0HH7AFO,10:38:00,0:43:00
1TOTHI6X15V0HH7AFO,11:21:00,FALSE
1TOTIGQX1G7Q6VQAFN,10:39:00,0:46:00
1TOTIGQX1G7Q6VQAFN,11:25:00,FALSE
1TOTJK6X1G71TKSAFP,10:51:00,0:35:00
1TOTJK6X1G71TKSAFP,11:26:00,FALSE
1TOTJPMX1G7D60QAFQ,11:09:00,0:31:00
1TOTJPMX1G7D60QAFQ,11:40:00,FALSE
1TOTK1GX1G1V1EUNFP,11:52:00,FALSE
1TOTLKUX10L0SSMAFN,11:14:00,0:07:00
1TOTLKUX10L0SSMAFN,11:21:00,FALSE
1TOTM1EX1GAOFNGAAM,12:04:00,0:36:29
1TOTM1EX1GAOFNGAAM,12:40:29,FALSE
1TOTM7QX1FVFOSLAF8,11:52:00,FALSE
1TOTMMMX1G85ARGAFP,12:06:00,FALSE
1TOTMOOX1DOISTCNFL,11:51:28,0:23:32
1TOTMOOX1DOISTCNFL,12:15:00,FALSE
1TOTP0QX15FHTVKAFN,11:46:00,0:42:11
1TOTP0QX15FHTVKAFN,12:28:11,FALSE
1TOTQLDX1G9DHI7AF6,11:42:00,1:03:00
1TOTQLDX1G9DHI7AF6,12:45:00,FALSE
1TOTS3UX1G91E57AF0,11:45:00,FALSE
1TOTS4DX15JP54FNF2,10:43:00,0:51:00
1TOTS4DX15JP54FNF2,11:34:00,FALSE
1TOTSFTX1G3CD8ANFV,10:42:00,1:01:00
1TOTSFTX1G3CD8ANFV,11:43:00,FALSE
1TOTT02X1FVPFCIAFM,11:33:00,0:34:00
1TOTT02X1FVPFCIAFM,12:07:00,FALSE
1TOTT3QX19OJQBIAAC,11:24:00,0:07:00
1TOTT3QX19OJQBIAAC,11:31:00,FALSE
1TOTTIOX1G7MD4FAMH,12:39:22,0:01:38
1TOTTIOX1G7MD4FAMH,12:41:00,FALSE
1TOTUF0X1GBP0ODAF9,10:52:00,0:40:00
